Name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Teknic 4AF1- Momentary Actuators Flush Type, White",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Flush Type,4AF1,Metal Series,4AF1,,80.5,Piece,Each,1,"Teknic 4AF1- Momentary Actuators Flush Type, White",,,,,,,Colour,White,Type,Flush,,,,,,,,,,,,,,,,,,1725517337-Product-fc1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AF2- Momentary Actuators Flush Type, Black",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Flush Type,4AF2,Metal Series,4AF2,,80.5,Piece,Each,1,"Teknic 4AF2- Momentary Actuators Flush Type, Black",,,,,,,Colour,Black,Type,Flush,,,,,,,,,,,,,,,,,,1725517337-Product-fc1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AF3- Momentary Actuators Flush Type, Green",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Flush Type,4AF3,Metal Series,4AF3,,80.5,Piece,Each,1,"Teknic 4AF3- Momentary Actuators Flush Type, Green",,,,,,,Colour,Green,Type,Flush,,,,,,,,,,,,,,,,,,1725517337-Product-fc1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AF4- Momentary Actuators Flush Type, Red",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Flush Type,4AF4,Metal Series,4AF4,,80.5,Piece,Each,1,"Teknic 4AF4- Momentary Actuators Flush Type, Red",,,,,,,Colour,Red,Type,Flush,,,,,,,,,,,,,,,,,,1725517337-Product-fc1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AF6- Momentary Actuators Flush Type , Blue",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Flush Type,4AF6,Metal Series,4AF6,,80.5,Piece,Each,1,"Teknic 4AF6- Momentary Actuators Flush Type , Blue",,,,,,,Colour,Blue,Type,Flush,,,,,,,,,,,,,,,,,,1725517337-Product-fc1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AF8- Momentary Actuators Flush Type , Yellow",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Flush Type,4AF8,Metal Series,4AF8,,80.5,Piece,Each,1,"Teknic 4AF8- Momentary Actuators Flush Type , Yellow",,,,,,,Colour,Yellow,Type,Flush,,,,,,,,,,,,,,,,,,1725517337-Product-fc1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AP1- Momentary Actuators Projecting Type, White",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Projecting Type,4AP1,Metal Series,4AP1,,80.5,Piece,Each,1,"Teknic 4AP1- Momentary Actuators Projecting Type, White",,,,,,,Colour,White,Type,Projecting,,,,,,,,,,,,,,,,,,1725517349-Product-fc2.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AP2- Momentary Actuators Projecting Type, Black",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Projecting Type,4AP2,Metal Series,4AP2,,80.5,Piece,Each,1,"Teknic 4AP2- Momentary Actuators Projecting Type, Black",,,,,,,Colour,Black,Type,Projecting,,,,,,,,,,,,,,,,,,1725517349-Product-fc2.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AP3- Momentary Actuators Projecting Type, Green",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Projecting Type,4AP3,Metal Series,4AP3,,80.5,Piece,Each,1,"Teknic 4AP3- Momentary Actuators Projecting Type, Green",,,,,,,Colour,Green,Type,Projecting,,,,,,,,,,,,,,,,,,1725517349-Product-fc2.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AP4- Momentary Actuators Projecting Type, Red",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Projecting Type,4AP4,Metal Series,4AP4,,80.5,Piece,Each,1,"Teknic 4AP4- Momentary Actuators Projecting Type, Red",,,,,,,Colour,Red,Type,Projecting,,,,,,,,,,,,,,,,,,1725517349-Product-fc2.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AP6- Momentary Actuators Projecting Type, Blue",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Projecting Type,4AP6,Metal Series,4AP6,,80.5,Piece,Each,1,"Teknic 4AP6- Momentary Actuators Projecting Type, Blue",,,,,,,Colour,Blue,Type,Projecting,,,,,,,,,,,,,,,,,,1725517349-Product-fc2.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AP8- Momentary Actuators Projecting Type, Yellow",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Projecting Type,4AP8,Metal Series,4AP8,,80.5,Piece,Each,1,"Teknic 4AP8- Momentary Actuators Projecting Type, Yellow",,,,,,,Colour,Yellow,Type,Projecting,,,,,,,,,,,,,,,,,,1725517349-Product-fc2.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 4AF1BA- Momentary Actuators Flush with Arrow Marking Type, White",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentary Actuators,Momentary Actuators Flush with Arrow Marking Type,4AF1BA,Metal Series,4AF1BA,,105,Piece,Each,1,"Teknic 4AF1BA- Momentary Actuators Flush with Arrow Marking Type, White",,,,,,,Colour,White,Type,Flush with White Arrow Marking,,,,,,,,,,,,,,,,,,1725517356-Product-fc3.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
